analysis_area_id	date	volume
233	2016-05-12 00:00:00+00:00	481
233	2016-05-13 00:00:00+00:00	418
233	2016-05-14 00:00:00+00:00	195
233	2016-05-15 00:00:00+00:00	193
233	2016-05-16 00:00:00+00:00	314
233	2016-05-17 00:00:00+00:00	446
233	2016-05-18 00:00:00+00:00	304
233	2016-05-19 00:00:00+00:00	262
233	2016-05-20 00:00:00+00:00	459
233	2016-05-21 00:00:00+00:00	113
233	2016-05-22 00:00:00+00:00	202
233	2016-05-23 00:00:00+00:00	347
233	2016-05-24 00:00:00+00:00	332
233	2016-05-25 00:00:00+00:00	266
233	2016-05-26 00:00:00+00:00	328
233	2016-05-27 00:00:00+00:00	293
233	2016-05-28 00:00:00+00:00	147
233	2016-05-29 00:00:00+00:00	291
233	2016-05-30 00:00:00+00:00	463
233	2016-05-31 00:00:00+00:00	420
233	2016-06-01 00:00:00+00:00	342
233	2016-06-02 00:00:00+00:00	261
233	2016-06-03 00:00:00+00:00	337
233	2016-06-04 00:00:00+00:00	326
233	2016-06-05 00:00:00+00:00	301
233	2016-06-06 00:00:00+00:00	334
233	2016-06-07 00:00:00+00:00	390
233	2016-06-08 00:00:00+00:00	297
233	2016-06-09 00:00:00+00:00	238
233	2016-06-10 00:00:00+00:00	177
233	2016-06-11 00:00:00+00:00	284
233	2016-06-12 00:00:00+00:00	354
233	2016-06-13 00:00:00+00:00	235
233	2016-06-14 00:00:00+00:00	145
233	2016-06-15 00:00:00+00:00	216
233	2016-06-16 00:00:00+00:00	300
233	2016-06-17 00:00:00+00:00	207
233	2016-06-18 00:00:00+00:00	223
233	2016-06-19 00:00:00+00:00	381
233	2016-06-20 00:00:00+00:00	355
233	2016-06-21 00:00:00+00:00	346
233	2016-06-22 00:00:00+00:00	329
233	2016-06-23 00:00:00+00:00	147
233	2016-06-24 00:00:00+00:00	207
233	2016-06-25 00:00:00+00:00	338
233	2016-06-26 00:00:00+00:00	388
233	2016-06-27 00:00:00+00:00	352
233	2016-06-28 00:00:00+00:00	383
233	2016-06-29 00:00:00+00:00	332
233	2016-06-30 00:00:00+00:00	343
233	2016-07-01 00:00:00+00:00	338
233	2016-07-02 00:00:00+00:00	337
233	2016-07-03 00:00:00+00:00	328
233	2016-07-04 00:00:00+00:00	271
233	2016-07-05 00:00:00+00:00	286
233	2016-07-06 00:00:00+00:00	313
233	2016-07-07 00:00:00+00:00	172
233	2016-07-08 00:00:00+00:00	181
233	2016-07-09 00:00:00+00:00	203
233	2016-07-10 00:00:00+00:00	373
233	2016-07-11 00:00:00+00:00	328
